case_number,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer
2019-00084056,BROAD ST & COMSTOCK AVE,2019-08-23T23:15:00.0,8,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,CVingi
2019-00084065,47 PRESTON ST,2019-08-23T23:14:00.0,8,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,OCastro
2019-00084049,109 DABOLL ST,2019-08-23T22:35:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ASubramaniam
2019-00084044,354 ADMIRAL ST,2019-08-23T22:22:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MSandorse
2019-00084031,27 CARRINGTON AVE,2019-08-23T21:38:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,SKennedy
2019-00084029,792 DOUGLAS AVE,2019-08-23T21:27:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,TManzotti
2019-00501341,502 PLAINFIELD ST B ,2019-08-23T21:22:49.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2019-00084023,190 DEXTER ST,2019-08-23T21:13:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,LPelaez
2019-00084019,1000 ELMWOOD AVE,2019-08-23T20:43:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JJohnson
2019-00084011,1 PROVIDENCE PL,2019-08-23T20:34:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,ASantos
2019-00084011,1 PROVIDENCE PL,2019-08-23T20:34:00.0,8,2019,Tresspassing,11-44-26,WILLFUL TRESPASS,1,ASantos
2019-00084006,50 SEABURY ST,2019-08-23T20:26:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,LPelaez
2019-00084007,124 MESSER ST,2019-08-23T20:25:00.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JHeeder
2019-00084017,1000 ELMWOOD AVE,2019-08-23T20:24:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JJohnson
2019-00084004,PINE HILL AVE & MAPLE AVE ,2019-08-23T20:08:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JJohnson
2019-00084001,GENEVA ST & ANDEM ST,2019-08-23T20:04:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,SHerr
2019-00083999,80 CURTIS ST,2019-08-23T19:55:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ERamos
2019-00083997,25 LAKESIDE ST,2019-08-23T19:52:00.0,8,2019,Request for Assistance,Not Used,No violations,0,VTavarez
2019-00083996,67 MOWRY ST,2019-08-23T19:50:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,RMalloy
2019-00083996,67 MOWRY ST,2019-08-23T19:50:00.0,8,2019,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,RMalloy
2019-00083994,377 KILLINGLY ST,2019-08-23T19:42:00.0,8,2019,Municipal Code Violation,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,1,Central Station
2019-00083995,34 WOODSIDE RD,2019-08-23T19:41:00.0,8,2019,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,CCastagliuolo
2019-00083975,136 KNIGHT ST,2019-08-23T18:50:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083966,333 W  RIVER ST,2019-08-23T18:28:00.0,8,2019,"Larceny, Other",11-41-6,ATTEMPTED LARCENY/U $1500 - ALL OTH LARCENY,1,VTavarez
2019-00083963,MEETING ST & THAYER ST,2019-08-23T18:25:00.0,8,2019,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,JHanley
2019-00083963,MEETING ST & THAYER ST,2019-08-23T18:25:00.0,8,2019,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,JHanley
2019-00083963,MEETING ST & THAYER ST,2019-08-23T18:25:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JHanley
2019-00083944,219 CARLETON ST,2019-08-23T17:39:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SPerez
2019-00083944,219 CARLETON ST,2019-08-23T17:39:00.0,8,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,SPerez
2019-00083943,111 ONTARIO ST,2019-08-23T17:35:00.0,8,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,HVentura
2019-00083940,52 CANDACE ST,2019-08-23T17:28:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KRichards
2019-00501342,59 HAMMOND ST,2019-08-23T17:19:01.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2019-00083942,93 DIXON ST,2019-08-23T17:01:00.0,8,2019,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,JJohnson
2019-00083928,21 TOURO ST,2019-08-23T16:44:00.0,8,2019,Request for Assistance,Not Used,No violations,0,VTavarez
2019-00083920,36 W  CLIFFORD ST,2019-08-23T16:18:00.0,8,2019,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,AIn
2019-00083922,20 GRAND ST,2019-08-23T16:09:00.0,8,2019,Larceny from Motor Vehicle,11-41-6,ATTEMPTED LARCENY/O $1500 - FROM MV,1,ERamos
2019-00083913,583 ELMWOOD AVE,2019-08-23T16:02:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JButen
2019-00083913,583 ELMWOOD AVE,2019-08-23T16:02:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JButen
2019-00083917,657 N  MAIN ST,2019-08-23T16:01:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SKennedy
2019-00083917,657 N  MAIN ST,2019-08-23T16:01:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,SKennedy
2019-00083905,UNIT ST & MAYNARD ST,2019-08-23T15:41:00.0,8,2019,Traffic Violation,31-3-18,Display of Plates Penalties,1,WGeorges
2019-00083905,UNIT ST & MAYNARD ST,2019-08-23T15:41:00.0,8,2019,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,WGeorges
2019-00083904,136 KNIGHT ST,2019-08-23T15:32:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083901,468 CRANSTON ST,2019-08-23T15:19:00.0,8,2019,"Larceny, Other",11-41-6,ATTEMPTED LARCENY/U $1500 - ALL OTH LARCENY,1,JHeeder
2019-00083899,380 HOPE ST,2019-08-23T15:19:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083900,179 PEARL ST,2019-08-23T15:19:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083892,93 LAURA ST,2019-08-23T14:42:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,ALevesque
2019-00083890,13 TENNISON LANE ,2019-08-23T14:36:00.0,8,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00501343,33 CONCORD ST,2019-08-23T14:10:42.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2019-00083882,141 MAGNOLIA ST,2019-08-23T14:00:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,DAnderson
2019-00501344,45 HIDDEN ST,2019-08-23T13:13:03.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia
2019-00083865,PRAIRIE AVENUE ,2019-08-23T12:55:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00083855,318 CHALKSTONE AVE,2019-08-23T12:17:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,DSanchez
2019-00083859,1 LA SALLE SQUARE ,2019-08-23T12:00:00.0,8,2019,Drug Offenses,21-28-4.01-A2B,MANUFACTURE/POSS/DELIVER SCH III/IV,1,AKanelopoulos
2019-00083859,1 LA SALLE SQUARE ,2019-08-23T12:00:00.0,8,2019,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,AKanelopoulos
2019-00083847,BROAD ST & ELMWOOD AVE,2019-08-23T11:49:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MClary
2019-00083845,128 HOUSTON ST,2019-08-23T11:41:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,CClift
2019-00083836,25 TOBEY ST,2019-08-23T11:17:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00083833,N  MAIN ST & MEETING ST,2019-08-23T11:15:24.0,8,2019,Traffic Violation,31-20-9,Obedience to Stop Sign,1,DHull
2019-00083829,1050 CHALKSTONE AVE,2019-08-23T11:05:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station
2019-00083827,20 DEXTER ST,2019-08-23T10:59:00.0,8,2019,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,BAuclair
2019-00501345,390 ACADEMY AVE,2019-08-23T10:47:57.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia
2019-00083818,325 WASHINGTON ST,2019-08-23T10:44:00.0,8,2019,"Assault, Threats",11-59-2,STALKING-SUB OFFENSE,1,MOtrando
2019-00083818,325 WASHINGTON ST,2019-08-23T10:44:00.0,8,2019,"Assault, Threats",11-52-4.2,CYBERSTALKING PROHIBITED,1,MOtrando
2019-00083811,64 DARTMOUTH AVE,2019-08-23T10:11:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083810,111 HENDRICK ST,2019-08-23T10:05:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,CAlves
2019-00083793,11 EAGLE ST,2019-08-23T08:47:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,YCaba
2019-00083786,409 MORRIS AVE,2019-08-23T08:01:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MBaldassare
2019-00083783,28 LEDGE ST,2019-08-23T07:50:00.0,8,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,DSanchez
2019-00083782,65 NEWARK ST,2019-08-23T07:34:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,CAlves
2019-00083775,89 MANOMET ST,2019-08-23T06:52:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JLugo
2019-00083770,825 CHALKSTONE AVE,2019-08-23T06:50:30.0,8,2019,Dispersals,Not Used,No violations,0,AElie
2019-00083773,615 CHARLES ST,2019-08-23T06:32:00.0,8,2019,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,DSanchez
2019-00083767,641 MANTON AVE,2019-08-23T06:05:20.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,SRomano
2019-00083758,JENKINS ST & GRAHAM ST ,2019-08-23T05:34:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,DLiu
2019-00083727,KINSLEY AVE & DEAN ST,2019-08-23T01:06:00.0,8,2019,Traffic Violation,31-3-32,Driving with Expired Registration,1,DUrizar
2019-00083725,393 CHARLES ST,2019-08-23T00:57:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,PSalmons
2019-00083716,159 BRIDGHAM ST,2019-08-23T00:13:00.0,8,2019,RI Statute Violation,8-6-1,CONTEMPT-SUPERIOR COURT,1,JNajarian
2019-00083785,CRANSTON ST & HANOVER ST,2019-08-23T00:00:00.0,8,2019,RI Statute Violation,21-28-4.08,CONTROLLED SUBSTANCE CONSPIRACY,1,SLafferty
2019-00083785,CRANSTON ST & HANOVER ST,2019-08-23T00:00:00.0,8,2019,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2,SLafferty
2019-00083711,244 WASHINGTON AVE,2019-08-22T23:52:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083707,380 HOPE ST,2019-08-22T23:28:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083703,135 KNIGHT ST,2019-08-22T23:15:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083705,158 WOOD ST,2019-08-22T23:07:00.0,8,2019,Municipal Code Violation,Sec. 16-93.  ,"Noise Control - Radios, television sets, and similar devices.",1,RCriner
2019-00083699,ATWELLS AVE & HARRIS AVE,2019-08-22T23:04:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JNajarian
2019-00083699,ATWELLS AVE & HARRIS AVE,2019-08-22T23:04:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JNajarian
2019-00083695,244 WASHINGTON AVE,2019-08-22T22:43:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083681,99 HILLSIDE AVE,2019-08-22T21:41:42.0,8,2019,Request for Assistance,Not Used,No violations,0,MGammino
2019-00501339,51 SILVER SPRING ST,2019-08-22T21:09:40.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia
2019-00083661,60 KING ST,2019-08-22T20:40:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NO'Malley
2019-00083646,1 PROVIDENCE PL,2019-08-22T20:07:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,VTavarez
2019-00083644,MEMORIAL BLVD & CRAWFORD ST,2019-08-22T20:05:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00083640,MANTON AVE & SHERIDAN ST,2019-08-22T19:46:00.0,8,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,JManown
2019-00083639,380 HOPE ST,2019-08-22T19:45:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083629,RILL ST & AURORA ST,2019-08-22T19:12:56.0,8,2019,Assistance Rendered,Not Used,No violations,0,MDuffy
2019-00083628,99 KENNEDY PLZ,2019-08-22T19:11:00.0,8,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,TRichards
2019-00083623,24 TAPPAN ST,2019-08-22T18:56:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083626,171 INDIA ST,2019-08-22T18:47:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MCastillo
2019-00083622,32 FAIRMOUNT AVE,2019-08-22T18:46:00.0,8,2019,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,SPerez
2019-00083619,VILLA AVE & ARLINGTON AVE,2019-08-22T18:40:00.0,8,2019,Property Damage,Not Used,No violations,0,MCastillo
2019-00083615,288 RICHMOND ST ,2019-08-22T18:37:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,VTavarez
2019-00083607,CRANSTON ST & BENEDICT ST,2019-08-22T18:12:00.0,8,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,LPelaez
2019-00083603,825 BROAD ST,2019-08-22T18:06:00.0,8,2019,Burglary,11-8-1,BURGLARY,1,ALevesque
2019-00083612,40 GRAFTON ST,2019-08-22T17:51:00.0,8,2019,RI Statute Violation,40-11-12.4,VIOLATION OF RESTRAINING ORDER,1,TManzotti
2019-00083600,670 N  MAIN ST,2019-08-22T17:50:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2019-00083593,169 WINDMILL ST ,2019-08-22T17:41:00.0,8,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00083597,84 HAMILTON ST,2019-08-22T17:40:00.0,8,2019,Burglary,11-8-1,BURGLARY,1,ALevesque
2019-00083587,WESTMINSTER STREET ,2019-08-22T17:28:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00083577,593 EDDY ST,2019-08-22T16:57:00.0,8,2019,"Assault, Threats",11-59-2,STALKING-1ST OFFENSE,1,AIn
2019-00083575,139 MATHEWSON ST,2019-08-22T16:54:00.0,8,2019,Medical Aid,Not Used,No violations,0,VTavarez
2019-00083574,244 WASHINGTON AVE,2019-08-22T16:51:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083573,200 DUPONT DR,2019-08-22T16:47:00.0,8,2019,RI Statute Violation,2-15-7,LITTERING/THROWING OF DEBRIS PROHIBITED,1,JJohnson
2019-00083564,15 WILKINS ST,2019-08-22T16:27:56.0,8,2019,RI Statute Violation,15-15-3,VIOLATION OF PROTECTIVE ORDER,1,JDeschamps
2019-00083566,343 BROAD ST,2019-08-22T16:26:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,GKue
2019-00083558,5 WILKINS ST,2019-08-22T16:16:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station
2019-00083557,195 LEXINGTON AVE,2019-08-22T16:15:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083545,245 CALIFORNIA AVE,2019-08-22T15:34:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00083546,2 EXCHANGE ST,2019-08-22T15:31:00.0,8,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NFroncillo
2019-00083540,9 PARKIS AVE,2019-08-22T15:06:00.0,8,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,DRosso
2019-00083538,136 KNIGHT ST,2019-08-22T15:05:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083539,325 WASHINGTON ST,2019-08-22T15:05:00.0,8,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,JHeeder
2019-00083530,148 CAMDEN AVE,2019-08-22T14:40:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00501338,EATON ST 108 ,2019-08-22T14:35:51.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia
2019-00083516,55 PORTER ST,2019-08-22T13:47:00.0,8,2019,Article Found,Not Used,No violations,0,RGaudiana
2019-00083510,622 ELMWOOD AVE,2019-08-22T13:32:00.0,8,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,CClift
2019-00083508,109 DABOLL ST,2019-08-22T13:26:00.0,8,2019,Request for Assistance,Not Used,No violations,0,NColicci
2019-00083498,465 ELMWOOD AVE,2019-08-22T12:49:00.0,8,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00083497,108 SISSON ST,2019-08-22T12:47:00.0,8,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00083492,BRANCH AVE & HAWKINS ST,2019-08-22T12:34:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DSanchez
2019-00083489,WICKENDEN ST & S WATER ST,2019-08-22T12:30:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station
2019-00083486,BROAD ST & PORTLAND ST,2019-08-22T12:05:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MClary
2019-00083484,15 SILVER LAKE AVE,2019-08-22T11:55:00.0,8,2019,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,BAuclair
2019-00083482,9 PARKIS AVE,2019-08-22T11:43:00.0,8,2019,Tresspassing,11-44-26.1,WILFULL TRESPASS IN SCHOOL BUILDINGS,1,LMarroquin
2019-00083480,65 ERASTUS ST ,2019-08-22T11:26:00.0,8,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,JO
2019-00083476,7 PROVIDENCE PL,2019-08-22T11:20:00.0,8,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,GSlater
2019-00083476,7 PROVIDENCE PL,2019-08-22T11:20:00.0,8,2019,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,GSlater
2019-00083469,971 BROAD ST,2019-08-22T11:05:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00083468,70 CONGRESS AVE,2019-08-22T11:00:00.0,8,2019,Request for Assistance,Not Used,No violations,0,NColicci
2019-00083465,150 BRIDGHAM ST,2019-08-22T10:55:00.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,BBoudreau
2019-00501337,59 IRVING AVE,2019-08-22T10:41:11.0,8,2019,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia
2019-00083462,113 SASSAFRAS ST,2019-08-22T10:36:00.0,8,2019,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,CClift
2019-00083461,45 CONCORD ST,2019-08-22T10:35:00.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00501336,MARIA AVE AVE ,2019-08-22T10:29:36.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2019-00083454,116 E  MANNING ST,2019-08-22T10:10:00.0,8,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DSepe
2019-00083447,307 WHITFORD AVE,2019-08-22T09:34:00.0,8,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,JLugo
2019-00083427,21 ATWELLS AVE,2019-08-22T08:04:00.0,8,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - OTH LAR,1,GSlater
2019-00083420,497 BROADWAY ,2019-08-22T06:54:57.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JDalton
2019-00083400,81 WASHINGTON AVE,2019-08-22T01:56:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00083396,WHITMARSH ST & BROAD ST,2019-08-22T01:38:00.0,8,2019,Weapons,11-47-5.2,POSSESSION OF A STOLEN FIREARM,1,ALugo
2019-00083388,DEAN ST & CARPENTER ST,2019-08-22T00:45:00.0,8,2019,Request for Assistance,Not Used,No violations,0,JCascione
2019-00083382,24 TAPPAN ST,2019-08-22T00:16:00.0,8,2019,Missing Persons,Not Used,No violations,0,Central Station
